time,cases
2010_week_22,5415
2010_week_23,4802
2010_week_24,5411
2010_week_25,7743
2010_week_26,9437
2010_week_27,11727
2010_week_28,11892
2010_week_29,10706
2010_week_30,8836
2010_week_31,7154
2010_week_32,4727
2010_week_33,3983
2010_week_34,3618
2010_week_35,3384
2010_week_36,3130
2010_week_37,2691
2010_week_38,1867
2010_week_39,1667
2010_week_40,1463
2010_week_41,1274
2010_week_42,1229
2010_week_43,1167
2010_week_44,1078
2010_week_45,1045
2010_week_46,893
2010_week_47,835
2010_week_48,778
2010_week_49,771
2010_week_50,639
2010_week_51,565
2010_week_52,322
2011_week_1,295
2011_week_2,300
2011_week_3,365
2011_week_4,413
2011_week_5,464
2011_week_6,347
2011_week_7,363
2011_week_8,468
2011_week_9,419
2011_week_10,397
2011_week_11,405
2011_week_12,358
2011_week_13,382
2011_week_14,348
2011_week_15,538
2011_week_16,636
2011_week_17,715
2011_week_18,678
2011_week_19,960
2011_week_20,2033
2011_week_21,2076
2011_week_22,3435
2011_week_23,5275
2011_week_24,8166
2011_week_25,13381
2011_week_26,22506
2011_week_27,30506
2011_week_28,34216
2011_week_29,27880
2011_week_30,25636
2011_week_31,23568
2011_week_32,17100
2011_week_33,13225
2011_week_34,12383
2011_week_35,13797
2011_week_36,12974
2011_week_37,11208
2011_week_38,8597
2011_week_39,8030
2011_week_40,5844
2011_week_41,4574
2011_week_42,3953
2011_week_43,3510
2011_week_44,3609
2011_week_45,2936
2011_week_46,3108
2011_week_47,2558
2011_week_48,2366
2011_week_49,2397
2011_week_50,2279
2011_week_51,1819
2011_week_52,1192
2012_week_1,619
2012_week_2,545
2012_week_3,612
2012_week_4,560
2012_week_5,451
2012_week_6,399
2012_week_7,339
2012_week_8,348
2012_week_9,274
2012_week_10,263
2012_week_11,281
2012_week_12,248
2012_week_13,255
2012_week_14,201
2012_week_15,268
2012_week_16,351
2012_week_17,379
2012_week_18,289
2012_week_19,351
2012_week_20,437
2012_week_21,563
2012_week_22,652
2012_week_23,811
2012_week_24,1090
2012_week_25,1464
2012_week_26,1833
2012_week_27,2104
2012_week_28,2909
2012_week_29,3044
2012_week_30,3677
2012_week_31,3729
2012_week_32,2947
2012_week_33,1936
2012_week_34,2041
2012_week_35,2527
2012_week_36,2784
2012_week_37,3050
2012_week_38,2784
2012_week_39,3003
2012_week_40,2669
2012_week_41,2182
2012_week_42,1998
2012_week_43,1988
2012_week_44,1718
2012_week_45,1857
2012_week_46,1719
2012_week_47,1455
2012_week_48,1319
2012_week_49,1368
2012_week_50,1329
2012_week_51,1124
2012_week_52,1003
2013_week_1,379
2013_week_2,512
2013_week_3,603
2013_week_4,569
2013_week_5,612
2013_week_6,546
2013_week_7,540
2013_week_8,589
2013_week_9,578
2013_week_10,629
2013_week_11,629
2013_week_12,538
2013_week_13,537
2013_week_14,590
2013_week_15,868
2013_week_16,947
2013_week_17,1142
2013_week_18,995
2013_week_19,1196
2013_week_20,1568
2013_week_21,2003
2013_week_22,2216
2013_week_23,3115
2013_week_24,4181
2013_week_25,6589
2013_week_26,10637
2013_week_27,14878
2013_week_28,21927
2013_week_29,25455
2013_week_30,27773
2013_week_31,27187
2013_week_32,24280
2013_week_33,15574
2013_week_34,13169
2013_week_35,13297
2013_week_36,12206
2013_week_37,12362
2013_week_38,9164
2013_week_39,5899
2013_week_40,5376
2013_week_41,5223
2013_week_42,4071
2013_week_43,3354
2013_week_44,3398
2013_week_45,2495
2013_week_46,2146
2013_week_47,1993
2013_week_48,1856
2013_week_49,1488
2013_week_50,1306
2013_week_51,1129
2013_week_52,757
2014_week_1,239
2014_week_2,296
2014_week_3,311
2014_week_4,408
2014_week_5,381
2014_week_6,345
2014_week_7,290
2014_week_8,235
2014_week_9,274
2014_week_10,237
2014_week_11,278
2014_week_12,257
2014_week_13,241
2014_week_14,315
2014_week_15,364
2014_week_16,383
2014_week_17,517
2014_week_18,502
2014_week_19,438
2014_week_20,558
2014_week_21,796
2014_week_22,1047
2014_week_23,1221
2014_week_24,1512
2014_week_25,1824
2014_week_26,2088
2014_week_27,2460
2014_week_28,3026
2014_week_29,3914
2014_week_30,3508
2014_week_31,3516
2014_week_32,3125
2014_week_33,2295
2014_week_34,2680
2014_week_35,3244
2014_week_36,3474
2014_week_37,3487
2014_week_38,2585
2014_week_39,2079
2014_week_40,2244
2014_week_41,2436
2014_week_42,1843
2014_week_43,1890
2014_week_44,2332
2014_week_45,2039
2014_week_46,2252
2014_week_47,2548
2014_week_48,2053
2014_week_49,2333
2014_week_50,2468
2014_week_51,2208
2014_week_52,1823
2015_week_1,446
2015_week_2,807
2015_week_3,730
2015_week_4,962
2015_week_5,1077
2015_week_6,1183
2015_week_7,993
2015_week_8,953
2015_week_9,1108
2015_week_10,1276
2015_week_11,1376
2015_week_12,1308
2015_week_13,1568
2015_week_14,1406
2015_week_15,1704
2015_week_16,2439
2015_week_17,3347
2015_week_18,3524
2015_week_19,2283
2015_week_20,3400
2015_week_21,5255
2015_week_22,6322
2015_week_23,5910
2015_week_24,8421
2015_week_25,11018
2015_week_26,14379
2015_week_27,17294
2015_week_28,23329
2015_week_29,31920
2015_week_30,29504
2015_week_31,32289
2015_week_32,27935
2015_week_33,17823
2015_week_34,17494
2015_week_35,17736
2015_week_36,16092
2015_week_37,15738
2015_week_38,13686
2015_week_39,7562
2015_week_40,7103
2015_week_41,5447
2015_week_42,3435
2015_week_43,2647
2015_week_44,2020
2015_week_45,1652
2015_week_46,1156
2015_week_47,1210
2015_week_48,838
2015_week_49,719
2015_week_50,565
2015_week_51,396
2015_week_52,347
2016_week_1,164
2016_week_2,129
2016_week_3,123
2016_week_4,168
2016_week_5,108
2016_week_6,95
2016_week_7,76
2016_week_8,76
2016_week_9,93
2016_week_10,53
2016_week_11,68
2016_week_12,78
2016_week_13,61
2016_week_14,74
2016_week_15,107
2016_week_16,156
2016_week_17,176
2016_week_18,184
2016_week_19,279
2016_week_20,428
2016_week_21,568
2016_week_22,592
2016_week_23,810
2016_week_24,1092
2016_week_25,1288
2016_week_26,1503
2016_week_27,2008
2016_week_28,2298
2016_week_29,2249
2016_week_30,2246
2016_week_31,2373
2016_week_32,1738
2016_week_33,1538
2016_week_34,1934
2016_week_35,2204
2016_week_36,2297
2016_week_37,2498
2016_week_38,2471
2016_week_39,3410
2016_week_40,4350
2016_week_41,3447
2016_week_42,3267
2016_week_43,3352
2016_week_44,2887
2016_week_45,2319
2016_week_46,2300
2016_week_47,2212
2016_week_48,1918
2016_week_49,1637
2016_week_50,1371
2016_week_51,1222
2016_week_52,739
2017_week_1,515
2017_week_2,447
2017_week_3,681
2017_week_4,542
2017_week_5,508
2017_week_6,432
2017_week_7,459
2017_week_8,397
2017_week_9,333
2017_week_10,403
2017_week_11,358
2017_week_12,336
2017_week_13,396
2017_week_14,399
2017_week_15,814
2017_week_16,1238
2017_week_17,1366
2017_week_18,1388
2017_week_19,1643
2017_week_20,2711
2017_week_21,3077
2017_week_22,4246
2017_week_23,5026
2017_week_24,6520
2017_week_25,7613
2017_week_26,11159
2017_week_27,18151
2017_week_28,25968
2017_week_29,28229
2017_week_30,31009
2017_week_31,29972
2017_week_32,21303
2017_week_33,16943
2017_week_34,18339
2017_week_35,17580
2017_week_36,13166
2017_week_37,12198
2017_week_38,8421
2017_week_39,7447
2017_week_40,6676
2017_week_41,5889
2017_week_42,5630
2017_week_43,6522
2017_week_44,5126
2017_week_45,4439
2017_week_46,4037
2017_week_47,3885
2017_week_48,2977
2017_week_49,2974
2017_week_50,2545
2017_week_51,1941
2017_week_52,1312
2018_week_1,541
2018_week_2,520
2018_week_3,741
2018_week_4,724
2018_week_5,564
2018_week_6,468
2018_week_7,362
2018_week_8,341
2018_week_9,380
2018_week_10,421
2018_week_11,474
2018_week_12,417
2018_week_13,480
2018_week_14,533
2018_week_15,734
2018_week_16,783
2018_week_17,956
2018_week_18,894
2018_week_19,1348
2018_week_20,2405
2018_week_21,2486
2018_week_22,3020
2018_week_23,3517
2018_week_24,3897
2018_week_25,3926
2018_week_26,5053
2018_week_27,5336
2018_week_28,6551
2018_week_29,5898
2018_week_30,5678
2018_week_31,5389
2018_week_32,4096
2018_week_33,3079
2018_week_34,3105
2018_week_35,3661
2018_week_36,3580
2018_week_37,3587
2018_week_38,3160
2018_week_39,2709
2018_week_40,3404
2018_week_41,2877
2018_week_42,3131
2018_week_43,3016
2018_week_44,2443
2018_week_45,2389
2018_week_46,2494
2018_week_47,2059
2018_week_48,1987
2018_week_49,1943
2018_week_50,1936
2018_week_51,1561
2018_week_52,987
2019_week_1,332
2019_week_2,441
2019_week_3,539
2019_week_4,421
2019_week_5,397
2019_week_6,409
2019_week_7,321
2019_week_8,382
2019_week_9,417
2019_week_10,432
2019_week_11,511
2019_week_12,475
2019_week_13,609
2019_week_14,538
2019_week_15,899
2019_week_16,1225
2019_week_17,1746
2019_week_18,1001
2019_week_19,1304
2019_week_20,3048
2019_week_21,4868
2019_week_22,6201
2019_week_23,8823
2019_week_24,12707
2019_week_25,16417
2019_week_26,21258
2019_week_27,31065
2019_week_28,39913
2019_week_29,38035
2019_week_30,42489
2019_week_31,33329
2019_week_32,20693
2019_week_33,9147
2019_week_34,8612
2019_week_35,9630
2019_week_36,9800
2019_week_37,8858
2019_week_38,6851
2019_week_39,5748
2019_week_40,5776
2019_week_41,5661
2019_week_42,4609
2019_week_43,4239
2019_week_44,4594
2019_week_45,4320
2019_week_46,3673
2019_week_47,3353
2019_week_48,3411
2019_week_49,3075
2019_week_50,2625
2019_week_51,2214
2019_week_52,1806
2020_week_1,345
2020_week_2,622
2020_week_3,479
2020_week_4,523
2020_week_5,514
2020_week_6,459
2020_week_7,392
2020_week_8,346
2020_week_9,299
2020_week_10,247
2020_week_11,290
2020_week_12,254
2020_week_13,229
2020_week_14,179
2020_week_15,164
2020_week_16,163
2020_week_17,107
2020_week_18,127
2020_week_19,116
2020_week_20,174
2020_week_21,164
2020_week_22,234
2020_week_23,333
2020_week_24,406
2020_week_25,390
2020_week_26,333
2020_week_27,418
2020_week_28,436
2020_week_29,385
2020_week_30,378
2020_week_31,479
2020_week_32,545
2020_week_33,336
2020_week_34,519
2020_week_35,444
2020_week_36,485
2020_week_37,437
2020_week_38,383
2020_week_39,359
2020_week_40,362
2020_week_41,428
2020_week_42,398
2020_week_43,360
2020_week_44,387
2020_week_45,323
2020_week_46,326
2020_week_47,383
2020_week_48,356
2020_week_49,415
2020_week_50,367
2020_week_51,323
2020_week_52,278
